33-05 OHIO                  CENTRAL                 .1169 4002  8300    00002620
33-06 OHIO                  CENTRAL  HILLS          .0721 4061  8213    00002630
33-07 OHIO            NORTH EAST     HILLS          .0801 4062  8106    00002640
33-08 OHIO            SOUTH WEST                    .1101 3938  8411    00002650
33-09 OHIO            SOUTH CENTRAL                 .1003 3889  8281    00002660
33-10 OHIO            SOUTH EAST                    .1310 3964  8172    00002670
34-00 OKLAHOMA                 68984     935   69919                    00002680
34-01 OKLAHOMA        PANHANDLE                     .1152 3674 10085    00002690
34-02 OKLAHOMA        NORTH CENTRAL                 .1169 3659  9809    00002700
34-03 OKLAHOMA        NORTH EAST                    .1211 3655  9569    00002710
34-04 OKLAHOMA        WEST  CENTRAL                 .0858 3562  9912    00002720
34-05 OKLAHOMA              CENTRAL                 .1470 3549  9720    00002730
34-06 OKLAHOMA        EAST  CENTRAL                 .1022 3545  9537    00002740
34-07 OKLAHOMA        SOUTH WEST                    .0990 3480  9893    00002750
34-08 OKLAHOMA        SOUTH CENTRAL                 .1205 3438  9691    00002760
34-09 OKLAHOMA        SOUTH EAST                    .0923 3447  9506    00002770
35-00 OREGON                   96209     772   96981                    00002780
35-01 OREGON          COASTAL      AREA             .0863 4450 12374    00002790
35-02 OREGON          WILLAMETTE   VALLEY           .0976 4479 12286    00002800
35-03 OREGON          SOUTHWESTERN VALLEYS          .0918 4282 12290    00002810
35-04 OREGON              NORTHERN CASCADE          .0302 4466 12205    00002820
35-05 OREGON                  HIGH PLATEAU          .0620 4300 12127    00002830
35-06 OREGON              NORTH    CENTRAL          .0918 4549 12020    00002840
35-07 OREGON              SOUTH    CENTRAL          .3058 4346 12000    00002850
35-08 OREGON              NORTH    EAST             .1313 4500 11800    00002860
35-09 OREGON              SOUTH    EAST             .1032 4315 11757    00002870
36-00 PENNSYLVANIA             45025     308   45333                    00002880
36-01 PENNSYLVANIA    POCONO  MOUNTAINS             .0721 4132  7548    00002890
36-02 PENNSYLVANIA    EAST  CENTRAL MOUNTAINS       .0424 4079  7580    00002900
36-03 PENNSYLVANIA    SOUTHEASTERN PIEDMONT         .0967 4020  7589    00002910
36-04 PENNSYLVANIA    LOWER SUSQUEHANNA             .0611 3994  7717    00002920
36-05 PENNSYLVANIA    MIDDLE SUSQUEHANNA            .1070 4091  7700    00002930
